city_fips,city_name,st,cty_fips,rucc,cz,pop_2010
4229088,Gilberton,Pennsylvania,42107,4,231,769
4229232,Girard,Pennsylvania,42049,2,215,3104
4229264,Girardville,Pennsylvania,42107,4,231,1519
4229432,Glassport,Pennsylvania,42003,1,203,4483
4229760,Glen Rock,Pennsylvania,42133,2,251,2025
4229720,Glenolden,Pennsylvania,42045,1,316,7153
4230128,Gordon,Pennsylvania,42107,4,231,763
4231256,Green Tree,Pennsylvania,42003,1,203,4432
4230896,Greencastle,Pennsylvania,42055,3,418,3996
4231200,Greensburg,Pennsylvania,42129,1,203,14892
4231328,Greenville,Pennsylvania,42085,2,296,5919
4231656,Grove City,Pennsylvania,42085,2,296,8322
4232080,Hallstead,Pennsylvania,42115,6,169,1303
4232120,Hamburg,Pennsylvania,42011,2,231,4289
4232448,Hanover,Pennsylvania,42133,2,251,15289
4232800,Harrisburg,Pennsylvania,42043,2,251,49528
4233080,Hastings,Pennsylvania,42021,3,420,1278
4233088,Hatboro,Pennsylvania,42091,1,316,7360
4233112,Hatfield,Pennsylvania,42091,1,316,3290
4233200,Hawley,Pennsylvania,42127,6,309,1211
4233408,Hazleton,Pennsylvania,42079,2,309,25340
4233592,Heidelberg,Pennsylvania,42003,1,203,1244
4233744,Hellertown,Pennsylvania,42095,2,231,5898
4234064,Hermitage,Pennsylvania,42085,2,296,16220
4234664,Highspire,Pennsylvania,42043,2,251,2399
4235224,Hollidaysburg,Pennsylvania,42013,3,420,5791
4235408,Homer City,Pennsylvania,42063,4,420,1707
4235424,Homestead,Pennsylvania,42003,1,203,3165
4235520,Honesdale,Pennsylvania,42127,6,309,4480
4235896,Houston,Pennsylvania,42125,1,203,1296
4235928,Houtzdale,Pennsylvania,42033,4,332,797
4236152,Hughestown,Pennsylvania,42079,2,309,1392
4236160,Hughesville,Pennsylvania,42081,3,358,2128
4236232,Hummelstown,Pennsylvania,42043,2,251,4538
4236368,Huntingdon,Pennsylvania,42061,6,565,7093
4236640,Hyndman,Pennsylvania,42009,6,420,910
4236816,Indiana,Pennsylvania,42063,4,420,13975
4236944,Industry,Pennsylvania,42007,1,203,1835
4237000,Ingram,Pennsylvania,42003,1,203,3330
4237208,Irwin,Pennsylvania,42129,1,203,3973
4237784,Jeannette,Pennsylvania,42129,1,203,9654
4237955,Jefferson Hills,Pennsylvania,42003,1,203,10619
4238000,Jenkintown,Pennsylvania,42091,1,316,4422
4238096,Jermyn,Pennsylvania,42069,2,309,2169
4238128,Jersey Shore,Pennsylvania,42081,3,358,4361
4238160,Jessup,Pennsylvania,42069,2,309,4676
4238248,Johnsonburg,Pennsylvania,42047,7,524,2483
4238288,Johnstown,Pennsylvania,42021,3,420,20978
4238688,Kane,Pennsylvania,42083,7,524,3730
4239256,Kenhorst,Pennsylvania,42011,2,231,2877
4239352,Kennett Square,Pennsylvania,42029,1,316,6072
4239784,Kingston,Pennsylvania,42079,2,309,13182
4240040,Kittanning,Pennsylvania,42005,1,203,4044
4240272,Knox,Pennsylvania,42031,6,215,1146
4240400,Koppel,Pennsylvania,42007,1,203,762
4240584,Kulpmont,Pennsylvania,42097,4,113,2924
4240656,Kutztown,Pennsylvania,42011,2,231,5012
